station_code,station_name,latitude,longitude,state,zone,is_junction,track_degree,opened_year,established_date,historical_details,daily_footfall,platform_count,peak_crowd_level,bias_correction_flag
FK,FEROK,11.174972,75.830285,Kerala,SR,1,164,1895,1895-02-06,Established 1895 under SR Railway network expansion.,15335,3,MODERATE,JUNCTION_HUB
KDTY,KADUTURUTTI HALT,9.756128,76.492600,All India,IR,1,164,1966,1966-05-09,Established 1966 under IR Railway network expansion.,4676,1,NORMAL,JUNCTION_HUB
KFE,KURIKAD,9.923277,76.376350,All India,IR,1,164,1984,1984-11-19,Established 1984 under IR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
KFQ,KUMARANALLUR,9.617136,76.531679,All India,IR,1,164,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
KN,KADALUNDI,11.133481,75.828033,Kerala,SR,1,164,1903,1903-10-14,Established 1903 under SR Railway network expansion.,51579,4,HIGH,JUNCTION_HUB
KODN,KODUMUNDA,10.816931,76.142879,Kerala,SR,1,164,1885,1885-01-21,Established 1885 under SR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
KPTM,KANJIRAMITTAM,9.862331,76.410949,All India,IR,1,164,1966,1966-05-09,Established 1966 under IR Railway network expansion.,4676,1,NORMAL,JUNCTION_HUB
KRKD,KARAKKAD,10.782804,76.227856,Kerala,SR,1,164,1885,1885-01-21,Established 1885 under SR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
KRPP,KURUPPANTHARA,9.734535,76.510609,All India,IR,1,164,1967,1967-06-10,Established 1967 under IR Railway network expansion.,4687,2,NORMAL,JUNCTION_HUB
KTU,KUTTIPPURAM,10.845724,76.033397,Kerala,SR,1,164,1884,1884-05-21,Established 1884 under SR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
KTYM,KOTTAYAM,9.594177,76.532168,All India,IR,1,164,1975,1975-02-18,Established 1975 under IR Railway network expansion.,19475,3,MODERATE,JUNCTION_HUB
KUL,KALLAYI,11.234607,75.788884,Kerala,SR,1,164,1876,1876-09-13,Established 1876 under SR Railway network expansion.,3796,1,NORMAL,JUNCTION_HUB
MNTT,MULANTURUTTI,9.901576,76.389673,All India,IR,1,164,1973,1973-12-16,Established 1973 under IR Railway network expansion.,58889,6,HIGH,JUNCTION_HUB
MVLK,MAVELIKARA,9.239487,76.545692,All India,IR,1,164,1964,1964-03-07,Established 1964 under IR Railway network expansion.,4654,1,NORMAL,JUNCTION_HUB
NHT,NALHATI JN,24.295706,87.838670,All India,IR,1,164,2004,2004-07-11,Established 2004 under IR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
PEU,PERSSANNUR,10.840824,76.065488,Kerala,SR,1,164,1874,1874-07-11,Established 1874 under SR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
PGI,PARPANANGADI,11.045910,75.861006,Kerala,SR,1,164,1864,1864-09-01,Established 1864 under SR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
PTB,PATTAMBI,10.801933,76.181337,Kerala,SR,1,164,1870,1870-03-07,Established 1870 under SR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
PUM,PALLIPPURAM,10.841374,76.112360,Kerala,SR,1,164,1882,1882-03-19,Established 1882 under SR Railway network expansion.,3862,1,NORMAL,JUNCTION_HUB
PVRD,PIRAVAM ROAD,9.828669,76.454731,All India,IR,1,164,1966,1966-05-09,Established 1966 under IR Railway network expansion.,4676,1,NORMAL,JUNCTION_HUB
SDLE,SWADINPUR,24.253478,87.822587,All India,IR,1,164,2006,2006-09-17,Established 2006 under IR Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
TA,TANUR,10.979540,75.880597,Kerala,SR,1,164,1899,1899-06-10,Established 1899 under SR Railway network expansion.,2839,2,NORMAL,JUNCTION_HUB
TIR,TIRUR,10.917757,75.921865,Kerala,SR,1,164,1879,1879-12-16,Established 1879 under SR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
TLV,TALVADYA,21.927299,76.443784,Madhya Pradesh,WCR,1,164,1986,1986-07-23,Established 1986 under WCR Railway network expansion.,3906,1,NORMAL,JUNCTION_HUB
TRTR,TRIUPUNITTURA,9.950100,76.352761,All India,IR,1,164,1982,1982-09-25,Established 1982 under IR Railway network expansion.,4852,1,NORMAL,JUNCTION_HUB
TRVL,TIRUVALLA,9.392148,76.580267,All India,IR,1,164,1978,1978-05-21,Established 1978 under IR Railway network expansion.,4808,1,NORMAL,JUNCTION_HUB
TUA,TIRUNNAVAYA,10.874721,75.985675,Kerala,SR,1,164,1874,1874-07-11,Established 1874 under SR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
VARD,VAIKAM ROAD,9.777648,76.474611,All India,IR,1,164,1951,1951-02-22,Established 1951 under IR Railway network expansion.,4511,2,NORMAL,JUNCTION_HUB
VLI,VALLIKUNNU,11.090460,75.851651,Kerala,SR,1,164,1875,1875-08-12,Established 1875 under SR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
LAK,LAKHO,25.416360,86.205004,Bihar,ECR,1,163,1956,1956-01-21,Established 1956 under ECR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
BDH,BHEDIA,23.586642,87.711813,All India,IR,1,162,1976,1976-03-11,Established 1976 under IR Railway network expansion.,3466,1,NORMAL,JUNCTION_HUB
BLW,BALAWALI,29.627434,78.112433,All India,IR,1,162,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
BPS,BANPAS,23.400731,87.747251,All India,IR,1,162,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
BRD,BHANDARA ROAD,21.238512,79.647523,All India,IR,1,162,1986,1986-01-21,Established 1986 under IR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
BUR,BINDAURA,27.021023,81.325203,All India,IR,1,162,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
CHCR,CHACHER,21.241422,79.354918,All India,IR,1,162,1998,1998-01-09,Established 1998 under IR Railway network expansion.,4368,1,NORMAL,JUNCTION_HUB
CLT,KOZHIKODE,11.246234,75.780407,Kerala,SR,1,162,1861,1861-03-12,Kozhikode (Calicut) terminus on the historic Beypore-Tirur-Calicut Madras Railway coastal link.,84000,4,HIGH,JUNCTION_HUB
CNK,CHANDOK,29.576786,78.152782,All India,IR,1,162,1990,1990-05-25,Established 1990 under IR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
DPL,DANAULI PHLWRIA,25.420471,86.249406,Bihar,ECR,1,162,1964,1964-09-01,Established 1964 under ECR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
EDA,ITWAN DUNDAILA,24.939959,80.842706,All India,IR,1,162,1972,1972-11-07,Established 1972 under IR Railway network expansion.,3422,1,NORMAL,JUNCTION_HUB
GKH,GUSKARA,23.489998,87.733397,All India,IR,1,162,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
JBR,JAHANGIRABAD ROAD,26.973937,81.247283,All India,IR,1,162,1992,1992-07-27,Established 1992 under IR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
JTL,JHAPATER DHAL,23.367646,87.750181,All India,IR,1,162,2004,2004-07-11,Established 2004 under IR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
KHAT,KHAT,21.242242,79.550792,All India,IR,1,162,2006,2006-09-17,Established 2006 under IR Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
KOKA,KOKA,21.263021,79.712409,All India,IR,1,162,2004,2004-07-15,Established 2004 under IR Railway network expansion.,4434,1,NORMAL,JUNCTION_HUB
LKN,LAKHMINIA,25.426072,86.309269,Bihar,ECR,1,162,1969,1969-02-06,Established 1969 under ECR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
MAR,MULANUR,12.661485,78.406389,All India,IR,1,162,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
PCQ,PICHKURIRDHAL,23.543420,87.720914,All India,IR,1,162,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
RFR,RAFINAGAR,26.994136,81.282033,All India,IR,1,162,2004,2004-07-11,Established 2004 under IR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
RRL,REWRAL,21.261121,79.468096,All India,IR,1,162,1950,1950-01-17,Established 1950 under IR Railway network expansion.,17520,2,MODERATE,JUNCTION_HUB
RSI,RAISI,29.692832,78.066434,All India,IR,1,162,2008,2008-11-15,Established 2008 under IR Railway network expansion.,55234,5,HIGH,JUNCTION_HUB
SAL,SALWA,21.236542,79.292976,All India,IR,1,162,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
SKJ,SAHIBPUR KAMAL JN,25.427037,86.400129,Bihar,ECR,1,162,1972,1972-05-09,Established 1972 under ECR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
TAR,THARSA,21.256602,79.414670,All India,IR,1,162,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
TATA,TATANAGAR JN,22.768954,86.200560,All India,IR,1,162,2008,2008-11-19,Established 2008 under IR Railway network expansion.,4478,1,NORMAL,JUNCTION_HUB
TIL,TILRATH,25.441179,86.068531,Bihar,ECR,1,162,1973,1973-06-10,Established 1973 under ECR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
UMNR,UMESHNAGAR,25.461085,86.431195,Bihar,ECR,1,162,1997,1997-11-15,Established 1997 under ECR Railway network expansion.,4742,1,NORMAL,JUNCTION_HUB
ADST,ADI SAPTAGRAM,22.954470,88.378872,All India,IR,1,160,1950,1950-01-21,Established 1950 under IR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
ARNA,ARNIA,27.010129,76.517180,All India,IR,1,160,2000,2000-03-11,Established 2000 under IR Railway network expansion.,18670,4,MODERATE,JUNCTION_HUB
BAI,BASSI,26.840617,76.047213,All India,IR,1,160,1974,1974-01-09,Established 1974 under IR Railway network expansion.,53772,4,HIGH,JUNCTION_HUB
BAK,BHAN KARI,26.962547,76.409455,All India,IR,1,160,1976,1976-03-11,Established 1976 under IR Railway network expansion.,3466,1,NORMAL,JUNCTION_HUB
BCGM,BAINCHIGRAM,23.105880,88.216298,All India,IR,1,160,1991,1991-06-02,Established 1991 under IR Railway network expansion.,4291,2,NORMAL,JUNCTION_HUB
BDJ,VADAKARA,11.593321,75.586941,Kerala,SR,1,160,1903,1903-05-13,Established 1903 under SR Railway network expansion.,3488,1,NORMAL,JUNCTION_HUB
BGF,BAGILA,23.160146,88.122004,All India,IR,1,160,1977,1977-04-12,Established 1977 under IR Railway network expansion.,3477,2,NORMAL,JUNCTION_HUB
BNDN,BHANDANA,26.878914,76.252474,All India,IR,1,160,2000,2000-03-11,Established 2000 under IR Railway network expansion.,18670,4,MODERATE,JUNCTION_HUB
BOI,BAINCHI,23.119124,88.196286,All India,IR,1,160,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
BRST,BIR PURUSHOTTAMPUR,19.990400,85.806351,ODISHA,ECOR,1,160,1965,1965-04-08,Established 1965 under ECOR Railway network expansion.,19245,2,MODERATE,JUNCTION_HUB
BSKO,BANSKHO,26.856115,76.142206,All India,IR,1,160,1953,1953-04-24,Established 1953 under IR Railway network expansion.,4533,2,NORMAL,JUNCTION_HUB
CMC,CHEMANCHERI,11.405279,75.720039,Kerala,SR,1,160,1906,1906-08-16,Established 1906 under SR Railway network expansion.,3521,2,NORMAL,JUNCTION_HUB
CS,KANNUR SOUTH,11.866899,75.400253,Kerala,SR,1,160,1900,1900-07-11,Established 1900 under SR Railway network expansion.,15450,2,MODERATE,JUNCTION_HUB
DBP,DEBIPUR,23.144613,88.155998,All India,IR,1,160,1984,1984-11-19,Established 1984 under IR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
DEG,DELANG,20.038474,85.766950,ODISHA,ECOR,1,160,1978,1978-05-13,Established 1978 under ECOR Railway network expansion.,3488,1,NORMAL,JUNCTION_HUB
DMD,DHARMADAM,11.778949,75.463770,Kerala,SR,1,160,1908,1908-10-18,Established 1908 under SR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
DO,DAUSA,26.900047,76.330336,All India,IR,1,160,1977,1977-04-08,Established 1977 under IR Railway network expansion.,2817,2,NORMAL,JUNCTION_HUB
ETK,ETAKKOT,11.806195,75.443797,Kerala,SR,1,160,1868,1868-01-05,Established 1868 under SR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
ETR,ELATTUR,11.346337,75.741119,Kerala,SR,1,160,1875,1875-08-12,Established 1875 under SR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
GADJ,GANDHINAGAR JAIPUR,26.873067,75.798280,All India,IR,1,160,1988,1988-03-27,Established 1988 under IR Railway network expansion.,4258,1,NORMAL,JUNCTION_HUB
GOC,PONMALAI GOLDEN ROCK,10.791837,78.709755,All India,IR,1,160,1928,1928-05-01,Ponmalai Golden Rock central railway workshop and locomotive engineering hub.,28000,4,MODERATE,JUNCTION_HUB
GTJT,GETOR JAGATPURA,26.836925,75.832384,All India,IR,1,160,1963,1963-02-06,Established 1963 under IR Railway network expansion.,4643,2,NORMAL,JUNCTION_HUB
HPGM,HARIPUR GRAM,20.133572,85.707856,ODISHA,ECOR,1,160,1950,1950-01-21,Established 1950 under ECOR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
IGL,IRINGAL,11.548117,75.608869,Kerala,SR,1,160,1860,1860-05-25,Established 1860 under SR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
JGE,JAGANNATH TEMPLE GATE,11.737975,75.507837,Kerala,SR,1,160,1909,1909-11-19,Established 1909 under SR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
JHIR,JHIR,26.852187,76.114692,All India,IR,1,160,1951,1951-02-22,Established 1951 under IR Railway network expansion.,4511,2,NORMAL,JUNCTION_HUB
JKDP,JANKIDAIPUR,19.888365,85.819270,ODISHA,ECOR,1,160,2007,2007-10-18,Established 2007 under ECOR Railway network expansion.,4467,2,NORMAL,JUNCTION_HUB
JPRD,JENAPUR ROAD,20.018355,85.786572,ODISHA,ECOR,1,160,1954,1954-05-25,Established 1954 under ECOR Railway network expansion.,4544,1,NORMAL,JUNCTION_HUB
JW,JATWARA,26.868820,76.214055,All India,IR,1,160,1991,1991-06-22,Established 1991 under IR Railway network expansion.,2971,2,NORMAL,JUNCTION_HUB
KASR,KANAS ROAD,20.062050,85.742800,ODISHA,ECOR,1,160,1955,1955-06-26,Established 1955 under ECOR Railway network expansion.,19015,4,MODERATE,JUNCTION_HUB
KHN,KHANYAN,23.046222,88.314472,All India,IR,1,160,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
KUT,KANAUTA,26.842216,75.955996,All India,IR,1,160,1954,1954-05-21,Established 1954 under IR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
KVGM,KOLVAGRAM,26.989484,76.468765,All India,IR,1,160,1959,1959-10-02,Established 1959 under IR Railway network expansion.,4599,2,NORMAL,JUNCTION_HUB
KWP,KHATIPURA,26.835709,75.890498,All India,IR,1,160,1952,1952-03-19,Established 1952 under IR Railway network expansion.,3862,1,NORMAL,JUNCTION_HUB
LOGH,LOTTEGOLLAHALLI,13.043169,77.562257,All India,IR,1,160,2008,2008-11-19,Established 2008 under IR Railway network expansion.,4478,1,NORMAL,JUNCTION_HUB
MAHE,MAHE,11.699227,75.546967,Puducherry,SR,1,160,1868,1868-08-04,Established 1868 under SR Railway network expansion.,4313,2,NORMAL,JUNCTION_HUB
MLT,MALATIPATPUR,19.865258,85.831770,ODISHA,ECOR,1,160,2007,2007-10-14,Established 2007 under ECOR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
MUG,MAGRA,22.983125,88.368290,All India,IR,1,160,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
MUKE,MUKKALI,11.684230,75.550362,Kerala,SR,1,160,1891,1891-07-27,Established 1891 under SR Railway network expansion.,58158,4,HIGH,JUNCTION_HUB
NAU,NADAPURAM ROAD,11.639509,75.575581,Kerala,SR,1,160,1868,1868-01-05,Established 1868 under SR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
PB,PUNTAMBA,19.762026,74.621960,MAHARASHTRA,CR,1,160,1896,1896-03-07,Established 1896 under CR Railway network expansion.,2806,1,NORMAL,JUNCTION_HUB
PDA,PUNDOOAH,23.070862,88.270115,All India,IR,1,160,1983,1983-10-18,Established 1983 under IR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
PTNR,PATEL NAGAR,28.660009,77.156260,Delhi NCT,NR,1,160,1909,1909-01-17,Established 1909 under NR Railway network expansion.,4764,1,NORMAL,JUNCTION_HUB
PU,PATCHUR,12.586657,78.469494,All India,IR,1,160,1995,1995-10-26,Established 1995 under IR Railway network expansion.,15795,2,MODERATE,JUNCTION_HUB
PYOL,PAYYOLI,11.516716,75.617595,Kerala,SR,1,160,1909,1909-01-17,Established 1909 under SR Railway network expansion.,4764,1,NORMAL,JUNCTION_HUB
QLD,QUILANDI,11.446139,75.693924,Kerala,SR,1,160,1865,1865-10-02,Established 1865 under SR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
SIL,SAKHI GOPAL,19.942882,85.816074,ODISHA,ECOR,1,160,2002,2002-05-09,Established 2002 under ECOR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
SLG,SIMLAGARH,23.095679,88.231213,All India,IR,1,160,2000,2000-03-07,Established 2000 under IR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
SUR,SOLAPUR JN,17.664496,75.893401,MAHARASHTRA,CR,1,160,1890,1890-11-27,Established 1890 under CR Railway network expansion.,17750,3,MODERATE,JUNCTION_HUB
TKT,TIKKOTTI,11.490426,75.626246,Kerala,SR,1,160,1883,1883-04-20,Established 1883 under SR Railway network expansion.,3873,2,NORMAL,JUNCTION_HUB
TLO,TALANDU,23.009788,88.345088,All India,IR,1,160,2009,2009-12-16,Established 2009 under IR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
TLY,THALASSERY,11.753140,75.492987,Kerala,SR,1,160,1889,1889-10-26,Established 1889 under SR Railway network expansion.,3939,2,NORMAL,JUNCTION_HUB
TPJ,TIRUCHIRAPPALLI,10.794067,78.685355,All India,IR,1,160,1858,1858-11-01,Great Southern of India Railway headquarters junction. Home to the historic Golden Rock Railway Locomotive Workshop (est. 1928).,85000,8,HIGH,JUNCTION_HUB
VEK,VELLARAKKAD,11.472300,75.653412,Kerala,SR,1,160,1870,1870-03-07,Established 1870 under SR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
VLL,VELLAYIL,11.264509,75.774610,Kerala,SR,1,160,1878,1878-11-15,Established 1878 under SR Railway network expansion.,55234,5,HIGH,JUNCTION_HUB
WH,WEST HILL,11.286030,75.765232,Kerala,SR,1,160,1909,1909-04-20,Established 1909 under SR Railway network expansion.,2949,2,NORMAL,JUNCTION_HUB
MWQ,MOTARI HALT,20.090583,85.729192,ODISHA,ECOR,1,159,1955,1955-06-22,Established 1955 under ECOR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
AWP,AGHWANPUR,28.939542,78.702865,All India,IR,1,158,2002,2002-05-09,Established 2002 under IR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
BEK,BUNDKI,29.522577,78.393285,All India,IR,1,158,1980,1980-07-15,Established 1980 under IR Railway network expansion.,16830,2,MODERATE,JUNCTION_HUB
BGVN,BHIGWAN,18.317256,74.775042,MAHARASHTRA,CR,1,158,1886,1886-02-22,Established 1886 under CR Railway network expansion.,4511,2,NORMAL,JUNCTION_HUB
BHP,BOLPUR SHANTINIKETAN,23.657804,87.698136,All India,IR,1,158,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
BLNI,BHALWANI,18.212962,75.199289,All India,IR,1,158,2003,2003-06-14,Established 2003 under IR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
BRB,BORIBIAL,18.407765,74.648808,MAHARASHTRA,CR,1,158,1909,1909-11-19,Established 1909 under CR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
CAJ,CHAKRAJ MAL,29.249784,78.536047,All India,IR,1,158,1976,1976-03-11,Established 1976 under IR Railway network expansion.,3466,1,NORMAL,JUNCTION_HUB
DHS,DHAVALAS,18.129682,75.334262,MAHARASHTRA,CR,1,158,1863,1863-08-28,Established 1863 under CR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
DPR,DHAMPUR,29.305446,78.501588,All India,IR,1,158,2000,2000-03-07,Established 2000 under IR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
GJ,GANGAJHARI,21.443153,80.058885,All India,IR,1,158,1975,1975-02-06,Established 1975 under IR Railway network expansion.,15335,3,MODERATE,JUNCTION_HUB
HBW,HABIBWALA,29.349034,78.478973,All India,IR,1,158,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
HRH,HARTHALA,28.871987,78.735595,All India,IR,1,158,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
JEUR,JEUR,18.260933,75.162471,MAHARASHTRA,CR,1,158,1895,1895-11-03,Established 1895 under CR Railway network expansion.,19130,3,MODERATE,JUNCTION_HUB
JNTR,JINTI ROAD,18.324954,74.877417,MAHARASHTRA,CR,1,158,1903,1903-07-11,Established 1903 under CR Railway network expansion.,4698,1,NORMAL,JUNCTION_HUB
KEM,KEM,18.177509,75.274626,MAHARASHTRA,CR,1,158,1861,1861-06-26,Established 1861 under CR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
KNT,KANTH,29.059768,78.621471,All India,IR,1,158,2007,2007-10-14,Established 2007 under IR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
KWN,KACHEWANI,21.430310,79.981657,All India,IR,1,158,1950,1950-01-17,Established 1950 under IR Railway network expansion.,17520,2,MODERATE,JUNCTION_HUB
MLM,MALTHAN,18.368951,74.724367,MAHARASHTRA,CR,1,158,1870,1870-03-07,Established 1870 under CR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
MNU,MUNDIKOTA,21.372513,79.834833,All India,IR,1,158,1950,1950-01-17,Established 1950 under IR Railway network expansion.,17520,2,MODERATE,JUNCTION_HUB
MSDR,MURSHADPUR,29.572395,78.375646,All India,IR,1,158,1960,1960-11-03,Established 1960 under IR Railway network expansion.,19130,3,MODERATE,JUNCTION_HUB
MSK,MAHES KHUNT,25.460820,86.641818,All India,IR,1,158,2005,2005-08-12,Established 2005 under IR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
MTB,MATLABPUR,28.989821,78.656727,All India,IR,1,158,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
MWE,MEWA NAWADA,29.118385,78.613167,All India,IR,1,158,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
MYM,MEMARI,23.172935,88.095637,All India,IR,1,158,1953,1953-04-20,Established 1953 under IR Railway network expansion.,3873,2,NORMAL,JUNCTION_HUB
MZV,MARALAHALLI,12.988346,78.108853,All India,IR,1,158,1963,1963-02-02,Established 1963 under IR Railway network expansion.,3983,2,NORMAL,JUNCTION_HUB
NGG,NAGINA,29.437919,78.424119,All India,IR,1,158,1990,1990-05-25,Established 1990 under IR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
NNA,NAUGACHIA,25.385261,87.093870,All India,IR,1,158,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
NNR,NARAYANPUR,25.398348,86.859388,All India,IR,1,158,2008,2008-11-15,Established 2008 under IR Railway network expansion.,55234,5,HIGH,JUNCTION_HUB
PNI,PURAINI,29.388929,78.445574,All India,IR,1,158,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
PPJ,POPHLAJ,18.292242,75.117846,MAHARASHTRA,CR,1,158,1874,1874-07-11,Established 1874 under CR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
PRWD,PAREWADI,18.289799,74.952285,MAHARASHTRA,CR,1,158,1902,1902-06-10,Established 1902 under CR Railway network expansion.,4687,2,NORMAL,JUNCTION_HUB
PSR,PASRAHA,25.403765,86.743883,All India,IR,1,158,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
SEO,SEOHARA,29.204807,78.580977,All India,IR,1,158,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
TDLE,TILDANGA,24.786749,87.873801,All India,IR,1,158,2007,2007-10-18,Established 2007 under IR Railway network expansion.,4467,2,NORMAL,JUNCTION_HUB
THB,THANA BIHPUR JN,25.393571,86.934758,All India,IR,1,158,1992,1992-07-27,Established 1992 under IR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
TRO,TIRORA,21.415039,79.918035,All India,IR,1,158,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
WSB,WASHIMBE,18.284021,75.003799,MAHARASHTRA,CR,1,158,1876,1876-09-13,Established 1876 under CR Railway network expansion.,3796,1,NORMAL,JUNCTION_HUB
BNXR,BIDHAN NAGAR,22.592432,88.391045,All India,IR,1,156,1964,1964-03-07,Established 1964 under IR Railway network expansion.,4654,1,NORMAL,JUNCTION_HUB
BRGY,VADODARA D CABIN,22.344458,73.159087,All India,IR,1,156,1958,1958-09-01,Established 1958 under IR Railway network expansion.,4588,1,NORMAL,JUNCTION_HUB
FM,KACHEGUDA FALAKNUMA,17.332197,78.474481,All India,IR,1,156,1977,1977-04-08,Established 1977 under IR Railway network expansion.,2817,2,NORMAL,JUNCTION_HUB
KRTN,KIRTI NAGAR,28.646929,77.145074,Delhi NCT,NR,1,156,1904,1904-08-12,Established 1904 under NR Railway network expansion.,4709,2,NORMAL,JUNCTION_HUB
KTRH,KATAREAH,25.400488,87.194836,All India,IR,1,156,1963,1963-02-06,Established 1963 under IR Railway network expansion.,4643,2,NORMAL,JUNCTION_HUB
KUE,KURSELA,25.440774,87.253655,All India,IR,1,156,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
LKJN,LINK JN. CABIN,25.356832,81.841869,All India,IR,1,156,1953,1953-04-24,Established 1953 under IR Railway network expansion.,4533,2,NORMAL,JUNCTION_HUB
NMF,NIMO,23.180298,88.069346,All India,IR,1,156,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
PLAE,PALSIT,23.197031,88.003222,All India,IR,1,156,2000,2000-03-11,Established 2000 under IR Railway network expansion.,18670,4,MODERATE,JUNCTION_HUB
RSLR,RASULPUR,23.187229,88.039994,All India,IR,1,156,1973,1973-12-16,Established 1973 under IR Railway network expansion.,58889,6,HIGH,JUNCTION_HUB
SINI,SINI JN,22.789460,85.947026,All India,IR,1,156,1957,1957-08-28,Established 1957 under IR Railway network expansion.,4577,2,NORMAL,JUNCTION_HUB
MSH,MAHESANA JN,23.602623,72.388708,Gujarat,WR,1,155,1872,1872-05-09,Established 1872 under WR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
